Sample	Estandardized_sample_nameR
04AC002-54	04AC002_54
04AC002-75	04AC002_75
04AC003-10	04AC003_10
04AC003-21	04AC003_21
04AC003-59	04AC003_59
04AC010-10	04AC010_10
04AC011-11	04AC011_11
04AC011-7	04AC011_7
04AC013-34	04AC013_34
04AC013-43	04AC013_43
04AC013-79	04AC013_79
04AC016-35	04AC016_35
04AC016-67	04AC016_67
04AC017-6	04AC017_6
04AC017-75	04AC017_75
04AC018-19	04AC018_19
04AC018-39	04AC018_39
04AC021-7	04AC021_7
04AC021-74	04AC021_74
04AC022-27	04AC022_27
04AC022-35	04AC022_35
04AC022-62	04AC022_62
04AC022-75	04AC022_75
04AC022-78	04AC022_78
04AC023-11	04AC023_11
04AC025-15	04AC025_15
04AC025-22	04AC025_22
04AC025-58	04AC025_58
04AC025-62	04AC025_62
04AC028-18	04AC028_18
04AC028-23	04AC028_23
04AC028-73	04AC028_73
04AC029-15	04AC029_15
04AC029-22	04AC029_22
04AC029-30	04AC029_30
04AC029-38	04AC029_38
04AC029-39	04AC029_39
04AC029-58	04AC029_58
04AC030-35	04AC030_35
04AC031-31	04AC031_31
04AC032-23	04AC032_23
04AC033-11	04AC033_11
04AC033-20	04AC033_20
04AC033-58	04AC033_58
04AC033-67	04AC033_67
04AC033-71	04AC033_71
04AC034-62	04AC034_62
04AC035-35	04AC035_35
04AC035-59	04AC035_59
04AC041-70	04AC041_70
04AC041-74	04AC041_74
04AC041-79	04AC041_79
04AC042-31	04AC042_31
04AC045-22	04AC045_22
04AC048-51	04AC048_51
04AC049-6	04AC049_6
04AC050-39	04AC050_39
04AC055-35	04AC055_35
04AC056-71	04AC056_71
04AC056-75	04AC056_75
04AC056-76	04AC056_76
04AC057-7	04AC057_7
04AC058-30	04AC058_30
04AC059-51	04AC059_51
04AC059-55	04AC059_55
04AC060-66	04AC060_66
04AC063-6	04AC063_6
04AC068-67	04AC068_67
04AC071-23	04AC071_23
04AC073-63	04AC073_63
04AC073-71	04AC073_71
04AC073-79	04AC073_79
04AC074-10	04AC074_10
04AC074-15	04AC074_15
04AC074-7	04AC074_7
04AC075-43	04AC075_43
04AC076-75	04AC076_75
04AC080-38	04AC080_38
04AC083-35	04AC083_35
04AC084-67	04AC084_67
04AC085-39	04AC085_39
04AC085-42	04AC085_42
04AC087-27	04AC087_27
04AC088-46	04AC088_46
04AC088-47	04AC088_47
04AC092-34	04AC092_34
04AC093-63	04AC093_63
04AC093-78	04AC093_78
04AC097-10	04AC097_10
04AC097-11	04AC097_11
04AC097-6	04AC097_6
04AC098-34	04AC098_34
04AC098-35	04AC098_35
04AC098-51	04AC098_51
01AC11069	01AC11069
01AC8219	01AC8219
2AC04-X00008-1	2AC04_X00008_1
2AC04-X00017-1	2AC04_X00017_1
2AC04-X00017-4	2AC04_X00017_4
2AC04-X00018-1	2AC04_X00018_1
2AC04-X00018-3	2AC04_X00018_3
2AC04-X00021-1	2AC04_X00021_1
2AC04-X00022-4	2AC04_X00022_4
2AC04-X00026-2	2AC04_X00026_2
2AC04-X00026-3	2AC04_X00026_3
2AC04-X00027-4	2AC04_X00027_4
2AC04-X00027-9	2AC04_X00027_9
2AC04-X00030-2	2AC04_X00030_2
2AC04-X00031-1	2AC04_X00031_1
2AC04-X00102-2	2AC04_X00102_2
2AC04-X00103-4	2AC04_X00103_4
2AC04-X00103-5	2AC04_X00103_5
2AC04-X00104-7	2AC04_X00104_7
2AC04-X00104-8	2AC04_X00104_8
2AC04-X01025-2	2AC04_X01025_2
2AC04-X01027-1	2AC04_X01027_1
2AC04-X01027-2	2AC04_X01027_2
2AC04-X01029-3	2AC04_X01029_3
2AC04-X01029-5	2AC04_X01029_5
2AC04-X01029-7	2AC04_X01029_7
2AC04-X01030-1	2AC04_X01030_1
2AC04-X01033-3	2AC04_X01033_3
2AC04-X01033-6	2AC04_X01033_6
2AC04-X01037-1	2AC04_X01037_1
2AC04-X01039-2	2AC04_X01039_2
2AC04-X01074-5	2AC04_X01074_5
2AC04-X01076-3	2AC04_X01076_3
2AC04-X01082-10	2AC04_X01082_10
2AC04-X01082-12	2AC04_X01082_12
2AC04-X01082-15	2AC04_X01082_15
2AC04-X01082-5	2AC04_X01082_5
2AC04-X01083-9	2AC04_X01083_9
2AC04-X01084-15	2AC04_X01084_15
2AC04-X01084-17	2AC04_X01084_17
2AC04-X01084-26	2AC04_X01084_26
2AC04-X01084-27	2AC04_X01084_27
2AC04-X01084-6	2AC04_X01084_6
2AC04-X01085-13	2AC04_X01085_13
2AC04-X01085-14	2AC04_X01085_14
2AC04-X01085-3	2AC04_X01085_3
2AC04-X01085-6	2AC04_X01085_6
2AC04-X01093-3	2AC04_X01093_3
2AC04-X01093-6	2AC04_X01093_6
2AC04-X01095-10	2AC04_X01095_10
6AC04-X00036-3	6AC04_X00036_3
6AC04-X00038-1	6AC04_X00038_1
6AC04-X00038-3	6AC04_X00038_3
6AC04-X00040-2	6AC04_X00040_2
6AC04-X00045-4	6AC04_X00045_4
6AC04-X00046-1	6AC04_X00046_1
6AC04-X00052-3	6AC04_X00052_3
6AC04-X00054-3	6AC04_X00054_3
6AC04-X00062-3	6AC04_X00062_3
6AC04-X00063-2	6AC04_X00063_2
6AC04-X00069-1	6AC04_X00069_1
6AC04-X00070-4	6AC04_X00070_4
6AC04-X00071-2	6AC04_X00071_2
6AC04-X00123-9	6AC04_X00123_9
6AC04-X00126-3	6AC04_X00126_3
6AC04-X00129-4	6AC04_X00129_4
6AC04-X00129-6	6AC04_X00129_6
6AC04-X00129-8	6AC04_X00129_8
6AC04-X01003-2	6AC04_X01003_2
6AC04-X01004-3	6AC04_X01004_3
6AC04-X01004-4	6AC04_X01004_4
6AC04-X01005-2	6AC04_X01005_2
6AC04-X01006-4	6AC04_X01006_4
6AC04-X01008-1	6AC04_X01008_1
6AC04-X01008-2	6AC04_X01008_2
6AC04-X01008-3	6AC04_X01008_3
6AC04-X01012-7	6AC04_X01012_7
6AC04-X01012-8	6AC04_X01012_8
6AC04-X01015-11	6AC04_X01015_11
6AC04-X01019-1	6AC04_X01019_1
6AC04-X01019-2	6AC04_X01019_2
6AC04-X01019-3	6AC04_X01019_3
6AC04-X01022-1	6AC04_X01022_1
6AC04-X01024-1	6AC04_X01024_1
6AC04-X01024-3	6AC04_X01024_3
6AC04-X01048-2	6AC04_X01048_2
6AC04-X01048-3	6AC04_X01048_3
6AC04-X01050-6	6AC04_X01050_6
6AC04-X01075-3	6AC04_X01075_3
6AC04-X01077-15	6AC04_X01077_15
6AC04-X01077-4	6AC04_X01077_4
6AC04-X01077-7	6AC04_X01077_7
6AC04-X01077-9	6AC04_X01077_9
6AC04-X01086-1	6AC04_X01086_1
98AC12905	98AC12905
99AC11215	99AC11215
2AC07-X020010-50	2AC07_X020010_50
2AC07-X02001-2	2AC07_X02001_2
2AC07-X02001-21	2AC07_X02001_21
2AC07-X020013-31	2AC07_X020013_31
2AC07-X020013-53	2AC07_X020013_53
2AC07-X020014-15	2AC07_X020014_15
2AC07-X020014-42	2AC07_X020014_42
2AC07-X020020-34	2AC07_X020020_34
2AC07-X020021-16	2AC07_X020021_16
2AC07-X020021-49	2AC07_X020021_49
2AC07-X02005-45	2AC07_X02005_45
2AC07-X030091-3	2AC07_X030091_3
2AC07-X030091-34	2AC07_X030091_34
2AC07-X030109-39	2AC07_X030109_39
2AC07-X030154-25	2AC07_X030154_25
2AC07-X030154-35	2AC07_X030154_35
2AC07-X030154-37	2AC07_X030154_37
2AC07-X031083-19	2AC07_X031083_19
2AC07-X031083-28	2AC07_X031083_28
2AC07-X031088-11	2AC07_X031088_11
2AC07-X031088-31	2AC07_X031088_31
2AC07-X031088-33	2AC07_X031088_33
2AC07-X031098-31	2AC07_X031098_31
2AC07-X031098-38	2AC07_X031098_38
2AC07-X031122-21	2AC07_X031122_21
2AC07-X031122-26	2AC07_X031122_26
2AC07-X031123-36	2AC07_X031123_36
2AC07-X031123-44	2AC07_X031123_44
2AC07-X031170-21	2AC07_X031170_21
2AC07-X031170-28	2AC07_X031170_28
2AC07-X04M114-21	2AC07_X04M114_21
2AC07-X04M114-25	2AC07_X04M114_25
2AC07-X04M114-46	2AC07_X04M114_46
2AC07-X04M120-10	2AC07_X04M120_10
2AC07-X04M120-23	2AC07_X04M120_23
2AC07-X04M122-15	2AC07_X04M122_15
2AC07-X04M122-47	2AC07_X04M122_47
2AC07-X04M203-7	2AC07_X04M203_7
2AC07-X04M207-1	2AC07_X04M207_1
2AC07-X04M207-18	2AC07_X04M207_18
